"File: C:\Documents and Settings\Yingxiao Wang\My Documents\lab_members\Jihye\FA dynamics\Src\102408_Src + mcherry pax\2\2-1.log"
"Date: Fri Oct 24 2008 12:5:42.921"
0.00, "Wavelength Names:	CFP	FRET	transmitted light	RFP	open"
"Time (sec)"
14.86
"Region 1: [Location: (124, 143), Size: (128, 104), Area: 10352]"
"Region 2: [Location: (290, 146), Size: (111, 94), Area: 8108]"
"Region 3: [Location: (166, 264), Size: (163, 129), Area: 16347]"
"Time (sec)", "R1 W1 Avg", "R1 W1 Sum", "R1 W1 Area", "R1 W2 Avg", "R1 W2 Sum", "R1 W2 Area", "R1 W3 Avg", "R1 W3 Sum", "R1 W3 Area", "R1 W4 Avg", "R1 W4 Sum", "R1 W4 Area", "R1 R1", "R2 W1 Avg", "R2 W1 Sum", "R2 W1 Area", "R2 W2 Avg", "R2 W2 Sum", "R2 W2 Area", "R2 W3 Avg", "R2 W3 Sum", "R2 W3 Area", "R2 W4 Avg", "R2 W4 Sum", "R2 W4 Area", "R2 R1", "R3 W1 Avg", "R3 W1 Sum", "R3 W1 Area", "R3 W2 Avg", "R3 W2 Sum", "R3 W2 Area", "R3 W3 Avg", "R3 W3 Sum", "R3 W3 Area", "R3 W4 Avg", "R3 W4 Sum", "R3 W4 Area", "R3 R1"
2616.39, 6518.52, 67479731.00, 10352.00, 7076.62, 73257146.00, 10352.00, 0.00, 0.00, 0.00, 1781.98, 18447092.00, 10352.00, 0.93, 6090.41, 49381031.00, 8108.00, 6609.41, 53589076.00, 8108.00, 0.00, 0.00, 0.00, 1755.35, 14232417.00, 8108.00, 0.94, 6307.39, 103106968.00, 16347.00, 6838.80, 111793941.00, 16347.00, 0.00, 0.00, 0.00, 1776.93, 29047408.00, 16347.00, 0.94
2676.39, 6491.30, 67197979.00, 10352.00, 7028.45, 72758463.00, 10352.00, 0.00, 0.00, 0.00, 1787.04, 18499466.00, 10352.00, 0.94, 6094.68, 49415682.00, 8108.00, 6587.99, 53415390.00, 8108.00, 0.00, 0.00, 0.00, 1756.91, 14244989.00, 8108.00, 0.94, 6303.45, 103042502.00, 16347.00, 6811.58, 111348974.00, 16347.00, 0.00, 0.00, 0.00, 1776.14, 29034601.00, 16347.00, 0.94
2736.39, 6452.69, 66798284.00, 10352.00, 6995.61, 72418545.00, 10352.00, 0.00, 0.00, 0.00, 1789.55, 18525469.00, 10352.00, 0.94, 6069.65, 49212751.00, 8108.00, 6535.96, 52993604.00, 8108.00, 0.00, 0.00, 0.00, 1757.35, 14248596.00, 8108.00, 0.95, 6270.40, 102502284.00, 16347.00, 6766.60, 110613565.00, 16347.00, 0.00, 0.00, 0.00, 1776.46, 29039733.00, 16347.00, 0.94
2796.39, 6439.06, 66657139.00, 10352.00, 6971.86, 72172674.00, 10352.00, 0.00, 0.00, 0.00, 1795.93, 18591494.00, 10352.00, 0.94, 6095.63, 49423342.00, 8108.00, 6541.82, 53041062.00, 8108.00, 0.00, 0.00, 0.00, 1758.49, 14257797.00, 8108.00, 0.95, 6268.70, 102474518.00, 16347.00, 6754.82, 110421074.00, 16347.00, 0.00, 0.00, 0.00, 1778.72, 29076751.00, 16347.00, 0.94
2856.39, 6419.43, 66453918.00, 10352.00, 6933.19, 71772362.00, 10352.00, 0.00, 0.00, 0.00, 1795.64, 18588442.00, 10352.00, 0.94, 6068.41, 49202632.00, 8108.00, 6502.10, 52719003.00, 8108.00, 0.00, 0.00, 0.00, 1757.73, 14251699.00, 8108.00, 0.95, 6281.41, 102682276.00, 16347.00, 6767.97, 110636016.00, 16347.00, 0.00, 0.00, 0.00, 1777.47, 29056244.00, 16347.00, 0.94
2916.39, 6405.88, 66313640.00, 10352.00, 6895.93, 71386632.00, 10352.00, 0.00, 0.00, 0.00, 1797.34, 18606037.00, 10352.00, 0.94, 6028.73, 48880931.00, 8108.00, 6399.47, 51886905.00, 8108.00, 0.00, 0.00, 0.00, 1759.67, 14267402.00, 8108.00, 0.96, 6288.34, 102795496.00, 16347.00, 6756.24, 110444266.00, 16347.00, 0.00, 0.00, 0.00, 1780.50, 29105913.00, 16347.00, 0.94
2976.39, 6404.74, 66301912.00, 10352.00, 6897.37, 71401599.00, 10352.00, 0.00, 0.00, 0.00, 1799.24, 18625728.00, 10352.00, 0.94, 5997.66, 48629016.00, 8108.00, 6353.69, 51515710.00, 8108.00, 0.00, 0.00, 0.00, 1762.65, 14291590.00, 8108.00, 0.96, 6310.31, 103154665.00, 16347.00, 6770.76, 110681573.00, 16347.00, 0.00, 0.00, 0.00, 1780.14, 29099883.00, 16347.00, 0.95
3036.39, 6401.82, 66271603.00, 10352.00, 6892.54, 71351567.00, 10352.00, 0.00, 0.00, 0.00, 1796.83, 18600763.00, 10352.00, 0.94, 5999.36, 48642817.00, 8108.00, 6271.97, 50853144.00, 8108.00, 0.00, 0.00, 0.00, 1760.54, 14274443.00, 8108.00, 0.97, 6310.07, 103150776.00, 16347.00, 6768.09, 110637894.00, 16347.00, 0.00, 0.00, 0.00, 1776.42, 29039135.00, 16347.00, 0.95
3096.39, 6395.31, 66204272.00, 10352.00, 6735.27, 69723552.00, 10352.00, 0.00, 0.00, 0.00, 1793.40, 18565293.00, 10352.00, 0.96, 5968.26, 48390616.00, 8108.00, 6149.36, 49858973.00, 8108.00, 0.00, 0.00, 0.00, 1756.58, 14242320.00, 8108.00, 0.99, 6281.69, 102686748.00, 16347.00, 6589.30, 107715349.00, 16347.00, 0.00, 0.00, 0.00, 1772.40, 28973342.00, 16347.00, 0.97
3156.39, 6363.02, 65869964.00, 10352.00, 6793.87, 70330149.00, 10352.00, 0.00, 0.00, 0.00, 1795.01, 18581975.00, 10352.00, 0.95, 5931.03, 48088799.00, 8108.00, 6183.53, 50136070.00, 8108.00, 0.00, 0.00, 0.00, 1756.18, 14239102.00, 8108.00, 0.97, 6217.59, 101638905.00, 16347.00, 6623.25, 108270343.00, 16347.00, 0.00, 0.00, 0.00, 1772.71, 28978419.00, 16347.00, 0.95
3216.39, 6387.94, 66128006.00, 10352.00, 6803.44, 70429214.00, 10352.00, 0.00, 0.00, 0.00, 1796.29, 18595209.00, 10352.00, 0.95, 5924.53, 48036103.00, 8108.00, 6146.32, 49834329.00, 8108.00, 0.00, 0.00, 0.00, 1757.68, 14251287.00, 8108.00, 0.98, 6235.28, 101928056.00, 16347.00, 6612.44, 108093574.00, 16347.00, 0.00, 0.00, 0.00, 1773.47, 28990923.00, 16347.00, 0.96
3276.39, 6385.44, 66102119.00, 10352.00, 6810.71, 70504432.00, 10352.00, 0.00, 0.00, 0.00, 1797.24, 18605064.00, 10352.00, 0.95, 5947.36, 48221191.00, 8108.00, 6164.63, 49982825.00, 8108.00, 0.00, 0.00, 0.00, 1756.28, 14239935.00, 8108.00, 0.98, 6239.12, 101990864.00, 16347.00, 6619.87, 108215018.00, 16347.00, 0.00, 0.00, 0.00, 1774.35, 29005246.00, 16347.00, 0.96
3336.39, 6390.82, 66157800.00, 10352.00, 6816.71, 70566608.00, 10352.00, 0.00, 0.00, 0.00, 1795.57, 18587781.00, 10352.00, 0.95, 5953.29, 48269276.00, 8108.00, 6149.64, 49861303.00, 8108.00, 0.00, 0.00, 0.00, 1756.22, 14239401.00, 8108.00, 0.98, 6239.81, 102002219.00, 16347.00, 6605.35, 107977707.00, 16347.00, 0.00, 0.00, 0.00, 1772.06, 28967938.00, 16347.00, 0.96
3396.39, 6406.42, 66319291.00, 10352.00, 6831.50, 70719671.00, 10352.00, 0.00, 0.00, 0.00, 1794.56, 18577263.00, 10352.00, 0.95, 5957.52, 48303552.00, 8108.00, 6145.45, 49827332.00, 8108.00, 0.00, 0.00, 0.00, 1758.81, 14260426.00, 8108.00, 0.98, 6242.09, 102039460.00, 16347.00, 6613.71, 108114377.00, 16347.00, 0.00, 0.00, 0.00, 1773.67, 28994173.00, 16347.00, 0.96
3456.39, 6418.61, 66445439.00, 10352.00, 6830.35, 70707812.00, 10352.00, 0.00, 0.00, 0.00, 1797.35, 18606197.00, 10352.00, 0.95, 5932.45, 48100274.00, 8108.00, 6127.03, 49677998.00, 8108.00, 0.00, 0.00, 0.00, 1759.08, 14262581.00, 8108.00, 0.98, 6231.90, 101872808.00, 16347.00, 6583.38, 107618467.00, 16347.00, 0.00, 0.00, 0.00, 1773.97, 28999115.00, 16347.00, 0.96
3516.39, 6390.86, 66158232.00, 10352.00, 6815.23, 70551263.00, 10352.00, 0.00, 0.00, 0.00, 1798.78, 18620965.00, 10352.00, 0.95, 5918.53, 47987427.00, 8108.00, 6113.92, 49571691.00, 8108.00, 0.00, 0.00, 0.00, 1760.37, 14273116.00, 8108.00, 0.98, 6218.55, 101654609.00, 16347.00, 6578.64, 107540947.00, 16347.00, 0.00, 0.00, 0.00, 1774.05, 29000380.00, 16347.00, 0.96
3576.39, 6404.72, 66301661.00, 10352.00, 6814.87, 70547559.00, 10352.00, 0.00, 0.00, 0.00, 1796.66, 18598983.00, 10352.00, 0.95, 5929.41, 48075641.00, 8108.00, 6097.96, 49442239.00, 8108.00, 0.00, 0.00, 0.00, 1760.20, 14271705.00, 8108.00, 0.99, 6212.90, 101562198.00, 16347.00, 6568.83, 107380587.00, 16347.00, 0.00, 0.00, 0.00, 1773.78, 28996023.00, 16347.00, 0.96
3636.39, 6401.69, 66270302.00, 10352.00, 6809.28, 70489638.00, 10352.00, 0.00, 0.00, 0.00, 1793.68, 18568144.00, 10352.00, 0.95, 5910.28, 47920547.00, 8108.00, 6109.38, 49534835.00, 8108.00, 0.00, 0.00, 0.00, 1759.65, 14267248.00, 8108.00, 0.98, 6197.41, 101308985.00, 16347.00, 6555.41, 107161224.00, 16347.00, 0.00, 0.00, 0.00, 1772.99, 28983143.00, 16347.00, 0.96
3696.39, 6397.39, 66225831.00, 10352.00, 6767.56, 70057804.00, 10352.00, 0.00, 0.00, 0.00, 1791.86, 18549381.00, 10352.00, 0.96, 5884.65, 47712712.00, 8108.00, 6044.57, 49009356.00, 8108.00, 0.00, 0.00, 0.00, 1758.46, 14257587.00, 8108.00, 0.99, 6191.81, 101217583.00, 16347.00, 6492.94, 106140152.00, 16347.00, 0.00, 0.00, 0.00, 1771.44, 28957792.00, 16347.00, 0.97
3756.39, 6370.85, 65951008.00, 10352.00, 6732.11, 69690829.00, 10352.00, 0.00, 0.00, 0.00, 1789.27, 18522529.00, 10352.00, 0.96, 5847.21, 47409164.00, 8108.00, 6027.78, 48873254.00, 8108.00, 0.00, 0.00, 0.00, 1756.39, 14240783.00, 8108.00, 0.98, 6176.88, 100973534.00, 16347.00, 6494.36, 106163326.00, 16347.00, 0.00, 0.00, 0.00, 1768.91, 28916333.00, 16347.00, 0.97
3816.39, 6379.11, 66036560.00, 10352.00, 6763.82, 70019075.00, 10352.00, 0.00, 0.00, 0.00, 1792.57, 18556721.00, 10352.00, 0.96, 5850.64, 47437022.00, 8108.00, 6041.82, 48987042.00, 8108.00, 0.00, 0.00, 0.00, 1759.24, 14263913.00, 8108.00, 0.98, 6202.78, 101396800.00, 16347.00, 6542.39, 106948474.00, 16347.00, 0.00, 0.00, 0.00, 1770.99, 28950374.00, 16347.00, 0.96
